issue_id	publish_year	publish_month	publish_date	icon_url	pca 2	pca 3	Hç	L%	S%
239819	2010	12	2010/12	1477076-xmenvsvampires2c_icon.jpg	-1.28744224	0.888796775	16.23757832	24.40847059	7.000623377
240121	2010	12	2010/12	1480938-295cc1de_4bf0_466f_82eb_0625f40d103a_icon.jpg	-0.419074059	0.716877699	3.759317542	47.65882353	9.934995474
240292	2010	12	2010/12	1483314-klaws_of_the_panther_2_icon.jpg	-1.755163263	0.260844723	17.61463041	30.6232549	23.26170167
249203	2010	12	2010/12	1571897-gnr_x_cls_icon.jpg	0.339163674	0.371158003	34.97653595	42.14256863	16.60697976
249874	2010	12	2010/12	1571972-x_cmp_icon.jpg	1.703519896	0.883351869	28.50441747	58.84372549	22.4867435
250625	2010	12	2010/12	1576497-x_men_1_icon.jpg	-2.416081266	-1.514353592	352.9289194	41.41913725	9.67839059
255846	2010	12	2010/12	1612437-mrv__eotc_icon.jpg	-3.064567442	-1.761848028	33.09012597	36.40392157	39.76623936
255940	2010	12	2010/12	1613839-avg_ass_vl1_icon.jpg	4.056246714	-1.136293254	357.5286094	50.43823529	10.2676399
277089	2010	12	2010/12	1887290-x_men_deluxe188_icon.jpg	-2.208115068	-0.345217859	23.9908145	36.01182353	33.71643191
284121	2010	12	2010/12	1945895-09_icon.jpg	-0.346536725	-0.055810869	26.97574488	22.21060784	22.72267005
249193	2010	12	2010/12	2010215-generation_hope_icon.jpg	-0.667996726	0.81217891	9.299898405	36.12913725	40.70550845
299710	2010	12	2010/12	2057834-07a_icon.jpg	-0.799609997	0.120365317	358.7387942	31.82796078	35.63853709
300396	2010	12	2010/12	2061197-120_icon.jpg	-0.146608044	0.755871838	20.93428108	51.23992157	35.36982199
300852	2010	12	2010/12	2063738-6_21_67_1_icon.jpg	0.779633164	0.091934788	23.47685541	46.18054902	26.95269377
186068	2010	2	2010/2	1048939-num_risation0002_icon.jpg	0.52217121	-0.306969051	50.65204979	54.08019608	11.21776669
186683	2010	2	2010/2	1054440-nec_icon.jpg	-1.6977035	-0.218591484	1.024650171	24.44588235	58.61574988
186692	2010	2	2010/2	1054566-cover1_icon.jpg	-0.737928953	1.139156454	26.24472311	43.98429412	14.28767577
186822	2010	2	2010/2	1055246-xnoir1_icon.jpg	-0.54264976	0.566939917	30.47470304	38.27701961	28.92904564
186932	2010	2	2010/2	1056077-uncanny_x_men_first_class6_icon.jpg	-2.146590103	-0.821721981	21.45738807	43.21901961	8.299269113
187162	2010	2	2010/2	1058154-xm_forever_13_page_001_icon.jpg	-0.439390093	0.629085749	23.75081212	49.22819608	35.43489742
187624	2010	2	2010/2	1061274-prv4028_cov_icon.jpg	-2.050810604	-0.385971029	175.4880344	24.17958824	0.904749509
189584	2010	2	2010/2	1071333-prv4112_cov_icon.jpg	0.493179149	0.277832447	9.603779841	50.33568627	9.525915164
189595	2010	2	2010/2	1071704-x_men_forever_14_icon.jpg	-1.283535164	0.016117006	8.265923239	33.69315686	22.31494031
191685	2010	2	2010/2	1087132-189234_20100106141243_large_icon.jpg	1.717345438	-0.861915694	21.02759945	42.7907451	25.58148913
200233	2010	2	2010/2	1153825-dpcb_icon.jpg	-0.481410981	-0.873894969	19.40858933	49.75039216	18.1797759
200906	2010	2	2010/2	1157245-war_machine_volume_2_dark_reign_tpb_icon.jpg	4.152168034	-2.445643082	5.965690279	52.67215686	7.100243607
200924	2010	2	2010/2	1157316-black_panther_power_tpb_icon.jpg	1.204470524	-0.303332975	14.85296079	46.45098039	25.32038835
220394	2010	2	2010/2	1271607-ironmantheugttash1_icon.jpg	0.387181539	-1.068049985	21.52507284	57.75176471	36.31756286
266305	2010	2	2010/2	1729862-f60_icon.jpg	1.896156112	0.381919156	350.9568909	43.38705882	5.535218779
290133	2010	2	2010/2	1985529-x_men236_icon.jpg	-0.352663435	-1.251816374	16.70844137	57.03882353	19.01032396
292833	2010	2	2010/2	2007412-50_icon.jpg	-0.754292982	0.913839764	30.80202303	39.67266667	24.05933655
300386	2010	2	2010/2	2061187-110_icon.jpg	-2.425628918	-0.594342006	20.98492168	35.83919608	31.42582965
300463	2010	2	2010/2	2061455-50_icon.jpg	-1.28488333	-0.422274268	218.3093185	36.45431373	3.75533168
306197	2010	2	2010/2	2119791-6_17_157_1_icon.jpg	-0.152082825	0.730879793	21.6905832	39.59743137	30.176794
307112	2010	2	2010/2	2128880-xme98_icon.jpg	-0.214885465	0.284292279	0.564743288	46.64582353	16.34103804
188255	2010	2	2010/2	2170153-11_icon.jpg	-1.969998577	-1.370057314	318.3293653	47.28921569	6.095573753
191271	2010	3	2010/3	1084955-num_risation0001_icon.jpg	0.175560482	0.281236575	56.03424636	30.26005882	6.190973282
191679	2010	3	2010/3	1087113-x_men_noir___moc__002_000a_icon.jpg	-3.614672882	-2.568708788	5.40738702	36.7264902	18.8157717
192469	2010	3	2010/3	1091917-prv4180_cov_icon.jpg	0.619013051	-0.137098435	4.033167241	58.97117647	24.84097741
192684	2010	3	2010/3	1092862-x_men_forever__15_icon.jpg	1.222638195	-0.307745586	206.5196923	63.55901961	14.05818702
192764	2010	3	2010/3	1093559-uncanny_x_men_first_class_7_icon.jpg	-0.024579356	1.172288143	18.35306404	39.37370588	16.8810279
194828	2010	3	2010/3	1108925-marvel_adventures_spider_man_59_icon.jpg	2.094757579	0.78367901	28.06202041	63.50647059	33.95982097
246741	2010	3	2010/3	1531486-xmn_frv__shots_icon.jpg	-0.163579876	0.293076356	12.8554069	37.1365098	17.46698191
247806	2010	3	2010/3	1542760-xmn__prl_to_onslgt_icon.jpg	2.037951581	0.503938621	3.844059327	55.21509804	13.66750875
249033	2010	3	2010/3	1560062-e2_icon.jpg	-1.319852449	0.33075227	22.8042808	39.38266667	24.47996431
251537	2010	3	2010/3	1585037-713260_icon.jpg	-0.807631955	0.168593047	11.52501355	38.11870588	29.79989239
277071	2010	3	2010/3	1886998-x_men_deluxe179_icon.jpg	-2.284593532	-0.479637591	97.59352197	29.51831373	4.314901882
290149	2010	3	2010/3	1985556-x_men237_icon.jpg	0.451711391	0.88533766	32.40428427	45.60094118	50.05366246
294047	2010	3	2010/3	2028632-dd_ech___poah_icon.jpg	1.309041355	0.906219201	355.6301389	59.30117647	13.59387948
300464	2010	3	2010/3	2061456-51_icon.jpg	-1.796713318	-0.085711313	29.69147761	30.09272549	5.011633976
307141	2010	3	2010/3	2128949-xm99_icon.jpg	0.647117965	-0.205807116	10.22765486	48.33078431	15.20120737
192672	2010	3	2010/3	2170154-12_icon.jpg	-2.262496739	-0.458776443	12.18521316	42.12188235	40.91506627
191456	2010	3	2010/3	2193215-09_icon.jpg	-2.792752285	-1.503231207	228.5460753	39.57358824	10.75420178
195418	2010	4	2010/4	1114942-prv4338_cov_icon.jpg	1.027398484	0.114939707	72.04232126	54.92117647	2.713330028
195708	2010	4	2010/4	1116859-x_men_noir_mark_of_cain_3a_icon.jpg	-2.012114428	-0.853716305	79.3790373	39.27688235	0.239576141
196456	2010	4	2010/4	1122315-imp_icon.jpg	-1.829669885	0.269898075	18.72946431	32.31796078	31.95236547
196741	2010	4	2010/4	1124296-spider_man_and_the_secret_wars_3_icon.jpg	-1.725647868	0.069717773	25.75244912	41.46192157	15.80481595
197468	2010	4	2010/4	1131583-num_risation0001_icon.jpg	-0.68928838	0.413759247	36.09888474	36.73060784	15.59948133
197524	2010	4	2010/4	1131851-hulk_20_icon.jpg	0.012454233	0.675356907	351.7516958	46.49403922	27.6790278
197540	2010	4	2010/4	1132043-p00001_icon.jpg	-0.798572329	0.838601054	20.15971634	44.45068627	13.8093106
197541	2010	4	2010/4	1132045-4b7c948a548f2_25128b_icon.jpg	0.825962533	0.705284113	187.0705359	46.61560784	22.33384762
198372	2010	4	2010/4	1140422-fall_of_the_hulks_red_hulk_2_icon.jpg	-0.48865368	1.148788708	0.660682867	39.63778431	35.45404044
202141	2010	4	2010/4	1165792-194020_20100313201330_large_icon.jpg	8.077622311	-4.47578292	246.6588559	53.47098039	10.43076638
202147	2010	4	2010/4	1165818-194532_20100322153708_large_icon.jpg	1.03461049	0.690730722	50.93846477	49.72537255	21.38120201
204863	2010	4	2010/4	1181441-exiles_ultimate_collection_book_4_icon.jpg	0.957470459	0.518482579	0.684817104	47.0472549	7.485590208
207310	2010	4	2010/4	1190874-iron_man_magazine_1_icon.jpg	-0.788370103	-0.098727165	333.3175385	43.40494118	11.63091579
211136	2010	4	2010/4	1211054-xmn_icon.jpg	0.322758026	-0.013955827	16.00788241	43.00494118	28.06553921
216431	2010	4	2010/4	1244335-whti_icon.jpg	0.841111456	-0.635179509	31.44520414	57.89352941	11.9188984
213929	2010	4	2010/4	1459336-picture_3_icon.png	1.638230326	0.361674286	30.7788924	63.46843137	32.47741679
249034	2010	4	2010/4	1560063-e3_icon.jpg	2.151204174	1.141696655	13.86522665	58.97137255	18.85053956
277077	2010	4	2010/4	1887030-x_men_deluxe180_icon.jpg	-3.123165949	-1.28308049	1.251680781	27.14760784	36.74118544
284113	2010	4	2010/4	1945886-01_icon.jpg	-0.760308784	-0.554546125	108.3903482	48.17921569	2.66488682
290156	2010	4	2010/4	1985564-x_men238_icon.jpg	-0.772326659	0.889796077	38.37227941	34.87623529	6.313192645
292835	2010	4	2010/4	2007414-52_icon.jpg	-0.218473166	0.537335882	48.14412651	40.82539216	15.2156842
300796	2010	4	2010/4	2063472-6_21_59_1_icon.jpg	0.598539276	-0.037792561	53.00003741	29.54378431	15.96613335
307114	2010	4	2010/4	2128885-xme100_icon.jpg	0.388697441	-0.558310826	27.16786704	36.59705882	8.703688821
307142	2010	4	2010/4	2128950-xm100_icon.jpg	2.482099838	-0.488634511	220.8604187	40.22235294	14.66846062
197867	2010	4	2010/4	2204364-521a_icon.jpg	-1.725221985	-1.312071835	334.2918768	48.64272549	19.95989969
199162	2010	5	2010/5	1147789-girl_comics_1_icon.jpg	-2.96900108	-1.194488939	176.737424	23.52258824	7.900957944
199993	2010	5	2010/5	1152124-deadpoolcorps02_001_icon.jpg	-2.193862357	-0.334232589	14.91755832	30.01515686	33.74419329
200191	2010	5	2010/5	1153374-breaking_into_comics_the_marvel_way_1_icon.jpg	1.668813611	-0.255418871	14.20922545	45.56682353	17.34027337
200206	2010	5	2010/5	1153510-x_men_forever_icon.jpg	-0.632455214	0.785370094	225.4112335	33.69901961	11.49460332
200985	2010	5	2010/5	1157502-doomwar002_dc11_lr_0001_icon.jpg	-1.449516205	-0.045286865	13.50684948	40.12047059	15.79732414
201000	2010	5	2010/5	1157669-num_risation0011_icon.jpg	0.043232223	0.448442429	42.01091598	46.97313725	11.24255415
201037	2010	5	2010/5	1157880-hulk_21_icon.jpg	-2.912035763	-1.350374805	5.557123457	35.59094118	33.18546579
202483	2010	5	2010/5	1169281-cloak_and_dagger_icon.jpg	-0.536939142	-0.540221292	22.90994562	57.76117647	10.07251019
202488	2010	5	2010/5	1169286-wolverine_origins_46_icon.jpg	0.440290544	1.446096575	197.544673	28.45709804	31.86578765
202685	2010	5	2010/5	1170602-xmf20_icon.jpg	-0.419716245	-0.032716815	42.44492441	51.94333333	2.833664506
214764	2010	5	2010/5	1233528-gn9995_icon.jpg	4.210634426	-2.739238895	7.627118644	62.63882353	26.9389426
214880	2010	5	2010/5	1234398-origins_of_marvel_comics_icon.jpg	-0.10460358	-0.008994718	21.85268651	57.64470588	23.41814344
218835	2010	5	2010/5	1261193-202516_20100606092306_large_icon.jpg	5.501940754	-3.598696279	357.9369294	53.64882353	21.825281
222331	2010	5	2010/5	1285207-cm__docm_icon.jpg	3.26767212	-1.058869411	85.39509054	28.23162745	7.053624325
246748	2010	5	2010/5	1531912-xmn_frv__ctmr_icon.jpg	0.317796641	0.574864695	341.48871	41.45694118	11.1183633
215974	2010	5	2010/5	1774550-psylocke_icon.jpg	-1.326299668	0.16988164	225.8037796	42.38152941	12.98021983
