issue_id	publish_year	publish_month	publish_date	icon_url	HÁ	L%	S%
106345	2006	9	2006/9	89920-18078-106345-1-new-x-men-vol-2_icon.jpg	12	46	24
186541	2007	1	2007/1	1052968-nimrod_icon.jpg	26	40	24
275082	2007	1	2007/1	1866862-17_icon.jpg	5	44	8
300000	2007	1	2007/1	2059605-61_icon.jpg	23	38	7
300160	2007	1	2007/1	2060323-120_icon.jpg	39	38	10
324546	2007	1	2007/1	2261510-x_men_extra_comics_volume_60_simple_26013_icon.jpg	15	58	25
107947	2007	1	2007/1	2355532-193_icon.jpg	50	44	48
106359	2007	1	2007/1	90128-18078-106359-1-new-x-men-vol-2_icon.jpg	57	44	4
109761	2007	10	2007/10	172305-18078-109761-2-new-x-men_icon.jpg	18	27	25
113738	2007	10	2007/10	176516-10731-113738-1-x-men_icon.jpg	42	46	13
113957	2007	10	2007/10	184252-18786-113957-1-world-war-hulk-x-me_icon.jpg	47	51	13
275091	2007	10	2007/10	1866871-26_icon.jpg	30	47	26
276864	2007	10	2007/10	1885527-x_men_deluxe150_icon.jpg	43	40	15
300009	2007	10	2007/10	2059648-70_icon.jpg	31	32	20
264861	2007	11	2007/11	1700088-158_icon.jpg	31	30	32
275092	2007	11	2007/11	1866872-27_icon.jpg	166	32	2
114395	2007	11	2007/11	192411-18109-114395-1-x-factor_icon.jpg	31	61	10
114617	2007	11	2007/11	195522-18078-114617-1-new-x-men_icon.jpg	34	70	25
300010	2007	11	2007/11	2059661-71_icon.jpg	195	75	17
306199	2007	11	2007/11	2119796-6_17_130_1_icon.jpg	14	51	3
186544	2007	12	2007/12	1053030-qfm2_icon.jpg	18	21	37
275093	2007	12	2007/12	1866873-28_icon.jpg	225	51	19
276866	2007	12	2007/12	1885541-x_men_deluxe152_icon.jpg	32	40	27
300011	2007	12	2007/12	2059672-72_icon.jpg	133	39	26
300543	2007	12	2007/12	2061668-72_icon.jpg	18	66	12
306200	2007	12	2007/12	2119797-6_17_131_1_icon.jpg	54	40	26
116391	2007	12	2007/12	221331-18078-116391-1-new-x-men_icon.jpg	73	43	3
148690	2007	12	2007/12	656936-386px_x_men_messiah_complex_mutant_files_vol_1_1_icon.jpg	23	47	19
186274	2007	2	2007/2	1051052-astx3_torn_icon.jpg	17	33	68
110486	2007	2	2007/2	135338-18078-110486-1-new-x-men-vol-2_icon.jpg	217	59	31
275083	2007	2	2007/2	1866863-18_icon.jpg	236	43	1
300001	2007	2	2007/2	2059606-62_icon.jpg	48	36	4
300161	2007	2	2007/2	2060324-121_icon.jpg	27	39	63
110487	2007	3	2007/3	135339-18078-110487-1-new-x-men-vol-2_icon.jpg	14	43	26
275084	2007	3	2007/3	1866864-19_icon.jpg	24	45	24
275912	2007	3	2007/3	1873769-x_men_deluxe143_icon.jpg	24	45	62
284003	2007	3	2007/3	1945633-22a_icon.jpg	23	42	64
300002	2007	3	2007/3	2059607-63_icon.jpg	344	46	11
300162	2007	3	2007/3	2060325-122_icon.jpg	324	33	40
300163	2007	3	2007/3	2060326-123_icon.jpg	26	47	28
275085	2007	4	2007/4	1866865-20_icon.jpg	9	34	5
284098	2007	4	2007/4	1945857-01_icon.jpg	15	35	51
300003	2007	4	2007/4	2059609-64_icon.jpg	28	46	24
106500	2007	4	2007/4	91646-18078-106500-1-new-x-men-vol-2_icon.jpg	34	34	18
275086	2007	5	2007/5	1866866-21_icon.jpg	222	55	19
275914	2007	5	2007/5	1873822-x_men_deluxe145_icon.jpg	125	35	19
300004	2007	5	2007/5	2059610-65_icon.jpg	18	46	22
300164	2007	5	2007/5	2060327-124_icon.jpg	338	34	12
300353	2007	5	2007/5	2061142-77_icon.jpg	27	39	48
132592	2007	5	2007/5	440519-civil_war_companion_1_00_icon.jpg	31	39	25
168660	2007	5	2007/5	935569-snikt_icon.jpg	41	33	22
106930	2007	5	2007/5	98734-18078-106930-1-new-x-men-vol-2_icon.jpg	46	58	19
186543	2007	6	2007/6	1053016-mf_icon.jpg	203	45	26
