issue_id	publish_year	publish_month	icon_url	"Character Id: 1464, Name: Iceman"	Number of Issues: 3517
17772	1977	9	15951-2746-17772-1-champions-the_icon.jpg		
17768	1977	9	15947-2128-17768-1-avengers-the_icon.jpg		
305494	1977	9	2113759-700975_icon.jpg		
17871	1977	10	16044-2901-17871-1-godzilla_icon.jpg		
17891	1977	10	16064-2782-17891-1-super-villain-team-u_icon.jpg		
17957	1977	11	16120-2746-17957-1-champions-the_icon.jpg		
325389	1977	11	2267662-11_icon.jpeg		
269968	1978	-1	1806252-65366_icon.jpg		
18112	1978	0	16252-2694-18112-1-marvel-treasury-edit_icon.jpg		
18111	1978	0	16251-2694-18111-1-marvel-treasury-edit_icon.jpg		
18160	1978	1	16293-2746-18160-1-champions-the_icon.jpg		
305496	1978	1	2113761-700977_icon.jpg		
325391	1978	3	2267664-13_icon.jpeg		
18429	1978	4	16542-2870-18429-1-spectacular-spider-m_icon.jpg		
18511	1978	5	16616-2870-18511-1-spectacular-spider-m_icon.jpg		
305495	1978	5	2113760-700979_icon.jpg		
18593	1978	6	16690-2870-18593-1-spectacular-spider-m_icon.jpg		
325397	1978	7	2267677-15_icon.jpeg		
224054	1978	8	1295638-rampage2_icon.jpg		
325398	1978	9	2267679-16_icon.jpeg		
225176	1978	10	1301330-317_icon.jpg		
18985	1978	11	2198611-x_men__115__1978__icon.jpg		
325400	1978	11	2267682-17_icon.jpeg		
225177	1978	11	1301331-318_icon.jpg		
225178	1978	11	1301332-319_icon.jpg		
19039	1978	12	17092-2860-19039-1-incredible-hulk-annu_icon.jpg		
140306	1978	12	581398-1_icon.jpg		
325401	1979	1	2267683-18_icon.jpeg		
125277	1979	2	329798-2577-125277-1-marvel-triple-action_icon.jpg		
325402	1979	3	2267684-19_icon.jpeg		
325403	1979	5	2267685-20_icon.jpeg		
325543	1979	7	2268294-21_icon.jpg		
249291	1979	9	1564078-uk_msh_353_icon.jpg		
19924	1979	11	17825-3007-19924-1-marvel-spotlight_icon.jpg		
19930	1979	11	17831-2870-19930-1-spectacular-spider-m_icon.jpg		
19975	1979	12	1985253-01_icon.jpg		
230495	1980	-1	1345909-starheroes10_icon.jpg		
239648	1980	-1	1474970-starheroes11_icon.jpg		
