issue_id	publish_year	publish_month	icon_url	"Character Id: 40454, Name: Hellion"	Number of Issues: 605
276876	2008	2	1885590-x_men_deluxe154_icon.jpg		
275095	2008	2	1866876-30_icon.jpg		
300170	2008	2	2060333-133_icon.jpg		
300013	2008	2	2059675-74_icon.jpg		
121611	2008	3	281680-18078-121611-1-new-x-men_icon.jpg		
276967	2008	3	1886361-x_men_deluxe155_icon.jpg		
300171	2008	3	2060334-134_icon.jpg		
127499	2008	4	356631-21203-127499-1-x-men-divided-we-st_icon.JPG		
276972	2008	4	1886370-x_men_deluxe156_icon.jpg		
289862	2008	4	1983754-x_men214_icon.jpg		
275097	2008	4	1866878-32_icon.jpg		
284016	2008	4	1945647-35a_icon.jpg		
300014	2008	4	2059676-75_icon.jpg		
300441	2008	4	2061426-28_icon.jpg		
291771	2008	4	1999838-73_icon.jpg		
186637	2008	5	1053905-wwhxmen_icon.jpg		
264831	2008	5	1699704-164_icon.jpg		
276983	2008	5	1886395-x_men_deluxe157_icon.jpg		
275099	2008	5	1866879-33_icon.jpg		
284017	2008	5	1945649-36a_icon.jpg		
300173	2008	5	2060337-136_icon.jpg		
300016	2008	5	2059679-77_icon.jpg		
300015	2008	5	2059678-76_icon.jpg		
300442	2008	5	2061427-29_icon.jpg		
264817	2008	6	1699649-165_icon.jpg		
277003	2008	6	1886432-x_men_deluxe158_icon.jpg		
275100	2008	6	1866880-34_icon.jpg		
284018	2008	6	1945656-37_icon.jpg		
300017	2008	6	2059680-78_icon.jpg		
300443	2008	6	2061429-30_icon.jpg		
306201	2008	6	2119798-6_17_137_1_icon.jpg		
130517	2008	7	393493-21203-130517-1-x-men-divided-we-st_icon.jpg		
277009	2008	7	1886470-x_men_deluxe159_icon.jpg		
289871	2008	7	1983976-x_men217_icon.jpg		
275101	2008	7	1866881-35_icon.jpg		
300366	2008	7	2061161-90_icon.jpg		
300367	2008	7	2061162-91_icon.jpg		
306202	2008	7	2119799-6_17_138_1_icon.jpg		
300550	2008	7	2061678-79_icon.jpg		
300018	2008	7	2059681-79_icon.jpg		
300578	2008	7	2061718-18_icon.jpg		
185347	2008	8	1044009-dividedwestand_icon.jpg		
251489	2008	8	1584771-wd154_icon.jpg		
277010	2008	8	1886482-x_men_deluxe160_icon.jpg		
275102	2008	8	1866882-36_icon.jpg		
306203	2008	8	2119800-6_17_139_1_icon.jpg		
300019	2008	8	2059683-80_icon.jpg		
300551	2008	8	2061679-80_icon.jpg		
300445	2008	8	2061431-32_icon.jpg		
291773	2008	8	1999840-75_icon.jpg		
251899	2008	9	1586430-155_icon.jpg		
277011	2008	9	1886521-x_men_deluxe161_icon.jpg		
292815	2008	9	2007394-33_icon.jpg		
275103	2008	9	1866883-37_icon.jpg		
300369	2008	9	2061164-93_icon.jpg		
300020	2008	9	2059684-81_icon.jpg		
300552	2008	9	2061680-81_icon.jpg		
151428	2008	10	701806-muaz5_icon.jpg		
277014	2008	10	1886573-x_men_deluxe162_icon.jpg		
289877	2008	10	1984006-x_men220_icon.jpg		
275104	2008	10	1866884-38_icon.jpg		
297548	2008	10	2050015-6_21_41_1_icon.jpg		
300370	2008	10	2061166-94_icon.jpg		
306205	2008	10	2119802-6_17_141_1_icon.jpg		
300021	2008	10	2059685-82_icon.jpg		
137373	2008	11	528159-2mevg4z_icon.jpg		
139330	2008	11	556544-0002_icon.jpg		
138410	2008	11	537785-0003_icon.jpg		
153210	2008	11	730019-marvel7page1_25_1_icon.jpg		
183107	2008	11	1862089-tpb_icon.jpg		
277017	2008	11	1886592-x_men_deluxe163_icon.jpg		
297566	2008	11	2050067-6_21_42_1_icon.jpg		
300371	2008	11	2061168-95_icon.jpg		
300022	2008	11	2059687-83_icon.jpg		
186300	2008	12	1051154-axm_hc2_icon.jpg		
277030	2008	12	1886641-x_men_deluxe164_icon.jpg		
284023	2008	12	1945662-43_icon.jpg		
300023	2008	12	2059688-84_icon.jpg		
160956	2009	-1	846293-marvel_9_icon.jpg		
166689	2009	-1	911368-0_icon.jpg		
289884	2009	1	1984048-x_men223_icon.jpg		
300373	2009	1	2061171-97_icon.jpg		
300024	2009	1	2059690-85_icon.jpg		
300374	2009	2	2061175-98_icon.jpg		
306209	2009	2	2119807-6_17_145_1_icon.jpg		
300025	2009	2	2059691-86_icon.jpg		
277054	2009	3	1886765-x_men_deluxe167_icon.jpg		
289901	2009	3	1984078-x_men225_icon.jpg		
300375	2009	3	2061176-99_icon.jpg		
306210	2009	3	2119808-6_17_146_1_icon.jpg		
300026	2009	3	2059692-87_icon.jpg		
185311	2009	4	1043297-si_icon.gif		
306211	2009	4	2119809-6_17_147_1_icon.jpg		
153653	2009	5	746702-001_icon.jpg		
264305	2009	5	1692888-177_icon.jpg		
156102	2009	6	783937-x1_icon.jpg		
158856	2009	7	820367-mollifest_icon.jpg		
186406	2009	7	1051961-xinfernus_icon.jpg		
264422	2009	7	1694607-179_icon.jpg		
306214	2009	7	2119813-6_17_150_1_icon.jpg		
300583	2009	7	2061726-23_icon.jpg		
161518	2009	8	850704-drkauncxu001_dc11_1_icon.jpg		
185338	2009	8	1043860-sisterhood_icon.jpg		
162522	2009	9	2204352-513a_icon.jpg		
164008	2009	9	877340-darkaven007_cov_1__icon.jpg		
164780	2009	9	886846-xforce_icon.jpg		
175163	2009	10	983114-dpv3_016_c01_icon.jpg		
168320	2009	10	932070-darkave_icon.jpg		
168465	2009	10	932884-18_icon.jpg		
178421	2009	10	1003365-xmn_icon.jpg		
167374	2009	10	922386-prv3206_cov_icon.jpg		
264384	2009	10	1694004-183_icon.jpg		
300033	2009	10	2059700-94_icon.jpg		
171387	2009	11	2207604-01_icon.jpg		
172433	2009	11	965388-num_risation0005_icon.jpg		
173708	2009	11	975429-x_force__019_000_icon.jpg		
186229	2009	11	1050140-avengers_xmen_utopia_icon.jpg		
182578	2009	11	1023544-prv3765_cov_icon.jpg		
264375	2009	11	1693931-184_icon.jpg		
190409	2009	12	1078379-xforcenotforgotten3_icon.jpg		
176851	2009	12	997522-prv3616_cov_icon.jpg		
264373	2009	12	1693853-185_icon.jpg		
300384	2009	12	2061185-108_icon.jpg		
