Id,mod_t1,mod_t2,mod_t3,mod_t4,mod_t5,mod_t6,mod_t7,mod_t8,mod_t9,mod_t10
330,3,3,3,3,3,3,3,3,3,189
331,0,0,0,0,0,0,0,2,1,213
332,0,0,0,0,0,0,0,0,0,213
333,0,0,0,0,0,0,0,0,0,190
334,0,0,0,0,0,0,0,0,2,191
335,0,0,0,0,0,0,0,2,1,216
336,2,2,2,2,2,2,2,2,2,218
337,2,2,2,2,2,2,2,2,2,192
338,2,2,2,2,2,2,2,2,2,175
339,2,2,2,2,2,2,2,2,2,193
340,2,2,0,2,1,2,1,3,2,194
341,2,2,2,2,2,2,2,2,2,107
342,2,2,2,2,2,2,2,2,2,262
343,2,2,2,2,2,2,2,2,2,195
344,2,2,2,2,2,2,2,2,2,196
345,0,0,0,0,0,0,0,0,0,197
346,0,0,0,0,0,0,0,0,0,213
347,0,0,0,0,0,0,0,2,0,232
348,0,0,0,0,0,0,0,0,0,198
349,0,0,0,0,0,0,0,0,0,199
350,0,0,0,0,3,0,3,2,2,200
351,0,0,0,0,0,1,2,0,1,114
352,0,0,0,3,2,1,2,2,1,114
353,0,0,0,0,0,0,2,2,1,201
354,0,0,1,3,2,1,2,2,1,175
355,3,3,3,3,3,3,3,3,3,202
356,3,3,3,3,3,3,3,3,3,260
357,0,0,0,0,0,1,2,2,0,129
358,0,0,0,0,0,0,0,0,0,175
359,0,0,0,0,0,0,0,2,1,218
360,0,0,0,0,3,3,2,2,1,203
361,0,0,0,0,3,1,2,0,2,204
362,0,0,3,2,3,3,2,2,2,232
363,0,0,0,3,2,1,2,2,1,175
364,3,3,3,3,3,3,3,3,3,260
365,0,0,0,3,2,1,2,2,2,205
366,0,0,0,3,0,1,2,2,1,232
367,3,3,3,3,3,3,3,3,3,254
368,3,3,3,3,3,3,3,3,3,206
369,3,3,3,3,3,3,3,3,3,260
370,3,3,3,3,3,3,3,3,3,114
371,3,3,3,3,3,3,3,3,3,207
372,3,3,3,3,3,3,3,3,3,216
373,3,3,3,3,3,3,3,3,3,262
374,3,3,3,3,3,3,3,3,3,175
375,3,3,3,3,3,3,3,3,3,254
376,3,3,3,3,3,3,3,3,3,260
377,3,3,3,3,3,3,3,3,3,208
378,3,3,3,3,3,3,3,3,3,218
379,3,3,3,3,3,3,3,3,3,254
380,3,3,3,3,3,3,3,3,3,125
381,3,3,3,3,3,3,3,3,3,260
382,3,3,3,3,3,3,3,3,3,213
383,3,3,3,3,3,3,3,3,3,218
384,3,3,3,3,3,3,3,3,3,254
385,3,3,3,3,3,3,3,3,3,262
386,3,3,3,3,3,3,3,3,3,209
387,3,3,3,3,3,3,3,3,3,260
388,3,3,3,3,3,3,3,3,3,218
389,3,3,0,3,3,3,3,3,3,218
390,3,3,3,3,3,3,3,3,3,210
391,3,3,0,3,3,3,3,1,3,319
392,3,3,3,3,3,3,3,3,3,232
393,3,3,3,3,3,3,3,3,3,118
394,3,3,3,3,3,3,3,3,3,211
395,3,3,3,3,3,3,3,3,3,212
396,3,3,3,3,3,3,3,3,3,213
397,3,3,3,3,3,3,3,3,3,254
398,0,0,0,0,0,1,2,2,1,214
399,0,0,0,0,0,0,0,0,0,107
400,3,3,3,3,3,3,3,3,3,215
401,0,0,0,0,0,0,2,2,1,232
402,0,0,0,0,0,0,0,0,0,262
403,3,3,3,3,3,3,3,3,3,260
404,0,0,0,2,0,3,3,2,2,260
405,3,3,3,3,3,3,3,3,3,213
406,3,3,3,3,3,3,3,3,3,260
407,3,3,3,3,3,3,3,3,3,216
408,0,0,0,0,0,0,0,2,1,129
409,3,3,3,3,3,3,3,3,3,217
410,3,3,3,3,3,3,3,3,3,260
411,3,3,3,3,3,3,3,3,3,260
412,3,3,3,3,3,3,3,3,3,260
413,3,3,3,3,3,3,3,3,3,219
414,3,3,3,3,3,3,3,3,3,254
415,3,3,3,3,3,3,3,3,3,254
416,3,3,3,3,3,3,3,3,3,213
417,0,0,0,0,0,0,0,0,0,262
418,3,3,3,3,3,3,3,3,3,260
419,0,0,3,2,3,3,3,0,2,286
