"Character Id: 1444, Name: Storm"	Number of Issues: 4327					
issue_id	publish_year	publish_month	super_url	icon_url	super_url	icon_url
21252	1981	5	http://media.comicvine.com/uploads/0/4/19024-3010-21252-1-rom_super.jpg	http://media.comicvine.com/uploads/0/4/19024-3010-21252-1-rom_icon.jpg	19024-3010-21252-1-rom_super.jpg	19024-3010-21252-1-rom_icon.jpg
21316	1981	6	http://media.comicvine.com/uploads/0/4/19085-2960-21316-1-spider-woman_super.jpg	http://media.comicvine.com/uploads/0/4/19085-2960-21316-1-spider-woman_icon.jpg	19085-2960-21316-1-spider-woman_super.jpg	19085-2960-21316-1-spider-woman_icon.jpg
21320	1981	6	http://media.comicvine.com/uploads/0/4/19089-3092-21320-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19089-3092-21320-1-uncanny-x-men-the_icon.jpg	19089-3092-21320-1-uncanny-x-men-the_super.jpg	19089-3092-21320-1-uncanny-x-men-the_icon.jpg
21393	1981	7	http://media.comicvine.com/uploads/0/4/19159-2918-21393-1-what-if-_super.jpg	http://media.comicvine.com/uploads/0/4/19159-2918-21393-1-what-if-_icon.jpg	19159-2918-21393-1-what-if-_super.jpg	19159-2918-21393-1-what-if-_icon.jpg
21392	1981	7	http://media.comicvine.com/uploads/0/4/19158-3092-21392-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19158-3092-21392-1-uncanny-x-men-the_icon.jpg	19158-3092-21392-1-uncanny-x-men-the_super.jpg	19158-3092-21392-1-uncanny-x-men-the_icon.jpg
21368	1981	7	http://media.comicvine.com/uploads/0/4/19134-3082-21368-1-bizarre-adventures_super.jpg	http://media.comicvine.com/uploads/0/4/19134-3082-21368-1-bizarre-adventures_icon.jpg	19134-3082-21368-1-bizarre-adventures_super.jpg	19134-3082-21368-1-bizarre-adventures_icon.jpg
21461	1981	8	http://media.comicvine.com/uploads/0/4/19223-3092-21461-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19223-3092-21461-1-uncanny-x-men-the_icon.jpg	19223-3092-21461-1-uncanny-x-men-the_super.jpg	19223-3092-21461-1-uncanny-x-men-the_icon.jpg
20918	1981	8	http://media.comicvine.com/uploads/0/4/18703-2350-20918-1-avengers-annual_super.jpg	http://media.comicvine.com/uploads/0/4/18703-2350-20918-1-avengers-annual_icon.jpg	18703-2350-20918-1-avengers-annual_super.jpg	18703-2350-20918-1-avengers-annual_icon.jpg
21531	1981	9	http://media.comicvine.com/uploads/0/4/19286-3092-21531-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19286-3092-21531-1-uncanny-x-men-the_icon.jpg	19286-3092-21531-1-uncanny-x-men-the_super.jpg	19286-3092-21531-1-uncanny-x-men-the_icon.jpg
21614	1981	10	http://media.comicvine.com/uploads/0/4/19360-3092-21614-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19360-3092-21614-1-uncanny-x-men-the_icon.jpg	19360-3092-21614-1-uncanny-x-men-the_super.jpg	19360-3092-21614-1-uncanny-x-men-the_icon.jpg
