"Character Id: 40454, Name: Hellion"	Number of Issues: 605					
issue_id	publish_year	publish_month	super_url	icon_url	super_url	icon_url
111036	2007	8	http://media.comicvine.com/uploads/0/40/140924-18786-111036-1-world-war-hulk-x-me_super.jpg	http://media.comicvine.com/uploads/0/40/140924-18786-111036-1-world-war-hulk-x-me_icon.jpg	140924-18786-111036-1-world-war-hulk-x-me_super.jpg	140924-18786-111036-1-world-war-hulk-x-me_icon.jpg
111931	2007	9	http://media.comicvine.com/uploads/0/787/157524-10731-111931-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/787/157524-10731-111931-1-x-men_icon.jpg	157524-10731-111931-1-x-men_super.jpg	157524-10731-111931-1-x-men_icon.jpg
107947	2007	1	http://media.comicvine.com/uploads/0/9116/2355532-193_super.jpg	http://media.comicvine.com/uploads/0/9116/2355532-193_icon.jpg	2355532-193_super.jpg	2355532-193_icon.jpg
109761	2007	10	http://media.comicvine.com/uploads/0/3664/172305-18078-109761-2-new-x-men_super.jpg	http://media.comicvine.com/uploads/0/3664/172305-18078-109761-2-new-x-men_icon.jpg	172305-18078-109761-2-new-x-men_super.jpg	172305-18078-109761-2-new-x-men_icon.jpg
113738	2007	10	http://media.comicvine.com/uploads/0/787/176516-10731-113738-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/787/176516-10731-113738-1-x-men_icon.jpg	176516-10731-113738-1-x-men_super.jpg	176516-10731-113738-1-x-men_icon.jpg
114617	2007	11	http://media.comicvine.com/uploads/0/3664/195522-18078-114617-1-new-x-men_super.jpg	http://media.comicvine.com/uploads/0/3664/195522-18078-114617-1-new-x-men_icon.jpg	195522-18078-114617-1-new-x-men_super.jpg	195522-18078-114617-1-new-x-men_icon.jpg
114946	2007	9	http://media.comicvine.com/uploads/0/787/199344-10731-114946-2-x-men_super.jpg	http://media.comicvine.com/uploads/0/787/199344-10731-114946-2-x-men_icon.jpg	199344-10731-114946-2-x-men_super.jpg	199344-10731-114946-2-x-men_icon.jpg
116391	2007	12	http://media.comicvine.com/uploads/0/40/221331-18078-116391-1-new-x-men_super.jpg	http://media.comicvine.com/uploads/0/40/221331-18078-116391-1-new-x-men_icon.jpg	221331-18078-116391-1-new-x-men_super.jpg	221331-18078-116391-1-new-x-men_icon.jpg
107768	2006	11	http://media.comicvine.com/uploads/0/3133/102954-18382-107768-1-x-men-pheonix-warso_super.jpg	http://media.comicvine.com/uploads/0/3133/102954-18382-107768-1-x-men-pheonix-warso_icon.jpg	102954-18382-107768-1-x-men-pheonix-warso_super.jpg	102954-18382-107768-1-x-men-pheonix-warso_icon.jpg
118081	2008	1	http://media.comicvine.com/uploads/0/40/235808-18078-118081-1-new-x-men_super.jpg	http://media.comicvine.com/uploads/0/40/235808-18078-118081-1-new-x-men_icon.jpg	235808-18078-118081-1-new-x-men_super.jpg	235808-18078-118081-1-new-x-men_icon.jpg
