"Character Id: 1464, Name: Iceman"	Number of Issues: 3517						
issue_id	publish_year	publish_month	publish_day	super_url	icon_url	super_url	icon_url
249728	1968	2	17	http://media.comicvine.com/uploads/7/72373/1570406-fantastic_53_super.jpg	http://media.comicvine.com/uploads/7/72373/1570406-fantastic_53_icon.jpg	1570406-fantastic_53_super.jpg	1570406-fantastic_53_icon.jpg
105594	1968	3	-1	http://media.comicvine.com/uploads/0/77/191952-2133-105594-2-x-men_super.jpg	http://media.comicvine.com/uploads/0/77/191952-2133-105594-2-x-men_icon.jpg	191952-2133-105594-2-x-men_super.jpg	191952-2133-105594-2-x-men_icon.jpg
114499	1968	4	-1	http://media.comicvine.com/uploads/0/8182/193560-2133-114499-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/8182/193560-2133-114499-1-x-men_icon.jpg	193560-2133-114499-1-x-men_super.jpg	193560-2133-114499-1-x-men_icon.jpg
114520	1968	5	-1	http://media.comicvine.com/uploads/0/8182/194049-2133-114520-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/8182/194049-2133-114520-1-x-men_icon.jpg	194049-2133-114520-1-x-men_super.jpg	194049-2133-114520-1-x-men_icon.jpg
113987	1968	6	-1	http://media.comicvine.com/uploads/0/3664/184750-2128-113987-1-the-avengers_super.jpg	http://media.comicvine.com/uploads/0/3664/184750-2128-113987-1-the-avengers_icon.jpg	184750-2128-113987-1-the-avengers_super.jpg	184750-2128-113987-1-the-avengers_icon.jpg
123659	1968	6	-1	http://media.comicvine.com/uploads/1/16281/315146-2133-123659-1-x-men_super.jpg	http://media.comicvine.com/uploads/1/16281/315146-2133-123659-1-x-men_icon.jpg	315146-2133-123659-1-x-men_super.jpg	315146-2133-123659-1-x-men_icon.jpg
123671	1968	7	-1	http://media.comicvine.com/uploads/1/16281/315172-2133-123671-1-x-men_super.jpg	http://media.comicvine.com/uploads/1/16281/315172-2133-123671-1-x-men_icon.jpg	315172-2133-123671-1-x-men_super.jpg	315172-2133-123671-1-x-men_icon.jpg
123672	1968	8	-1	http://media.comicvine.com/uploads/1/16281/315173-2133-123672-1-x-men_super.jpg	http://media.comicvine.com/uploads/1/16281/315173-2133-123672-1-x-men_icon.jpg	315173-2133-123672-1-x-men_super.jpg	315173-2133-123672-1-x-men_icon.jpg
123674	1968	10	-1	http://media.comicvine.com/uploads/1/16281/315180-2133-123674-1-x-men_super.jpg	http://media.comicvine.com/uploads/1/16281/315180-2133-123674-1-x-men_icon.jpg	315180-2133-123674-1-x-men_super.jpg	315180-2133-123674-1-x-men_icon.jpg
114340	1968	11	-1	http://media.comicvine.com/uploads/0/8182/191722-2133-114340-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/8182/191722-2133-114340-1-x-men_icon.jpg	191722-2133-114340-1-x-men_super.jpg	191722-2133-114340-1-x-men_icon.jpg
114405	1968	12	-1	http://media.comicvine.com/uploads/0/8182/192484-2133-114405-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/8182/192484-2133-114405-1-x-men_icon.jpg	192484-2133-114405-1-x-men_super.jpg	192484-2133-114405-1-x-men_icon.jpg
