X-Men: First Class (2011),Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,
Battleship (2012),Peter Berg,Alexander SkarsgŒrd,Brooklyn Decker,Liam Neeson,Rihanna,
Chernobyl Diaries (2012),Brad Parker,Jesse McCartney,Jonathan Sadowski,Olivia Taylor Dudley,Nathan Phillips,
Cloud Atlas (2012),Tom Tykwer,Andy Wachowski,Tom Hanks,Halle Berry,Hugh Grant,Hugo Weaving
Dredd (2012),Pete Travis,Karl Urban,Olivia Thirlby,Lena Headey,Rachel Wood,
Frankenweenie (2012),Tim Burton,Winona Ryder,Catherine O'Hara,Martin Short,Martin Landau,
The Hunger Games (2012),Gary Ross,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci,
Journey 2: The Mysterious Island (2012),Brad Peyton,Josh Hutcherson,Dwayne Johnson,Michael Caine,Luis Guzm‡n,
Lockout (2012),James Mather,Stephen Saint Leger,Guy Pearce,Maggie Grace,Peter Stormare,Vincent Regan
Looper (2012),Rian Johnson,Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,Paul Dano,
Men in Black 3 (2012),Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement,
Prometheus (2012),Ridley Scott,Noomi Rapace,Logan Marshall-Green,Michael Fassbender,Charlize Theron,
Resident Evil: Retribution (2012),Paul W.S. Anderson,Milla Jovovich,Sienna Guillory,Michelle Rodriguez,Aryana Engineer,
Total Recall (2012),Len Wiseman,Colin Farrell,Bokeem Woodbine,Bryan Cranston,Kate Beckinsale,
The Watch (2012),Akiva Schaffer,Ben Stiller,Vince Vaughn,Jonah Hill,Billy Crudup,
Gravity (2013),Alfonso Cuar—n,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,
World War Z (2013),Marc Forster,Brad Pitt,Mireille Enos,Daniella Kertesz,James Badge Dale,
Oblivion (2013),Joseph Kosinski,Tom Cruise,Morgan Freeman,Andrea Riseborough,Olga Kurylenko,
Man of Steel (2013),Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,Diane Lane,
Pacific Rim (2013),Guillermo del Toro,Idris Elba,Charlie Hunnam,Rinko Kikuchi,Charlie Day,
The Hunger Games: Catching Fire (2013),Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Philip Seymour Hoffman,
The Host (2013),Andrew Niccol,Saoirse Ronan,Max Irons,Jake Abel,Diane Kruger,
The Wolverine (2013),James Mangold,Hugh Jackman,Will Yun Lee,Tao Okamoto,Rila Fukushima,
Elysium (2013),Neill Blomkamp,Matt Damon,Jodie Foster,Sharlto Copley,Alice Braga,
After Earth (2013),M. Night Shyamalan,Jaden Smith,David Denman,Will Smith,Sophie Okonedo,
Iron Man 3 (2013),Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle,
Star Trek Into Darkness (2013),J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,
